division,product_type,material_type,tariff_country_code,tariff_country_description,tariff_code,customs_description,material_composition
Men,Short Sleeves,Knit,USA,United States,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,NZL,New Zealand,6109100200L,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,EU,Europe,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,KOR,South Korea,6109101000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,CHN,China,6109100000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,GBR,United Kingdom,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,CHE,Switzerland,61091000-000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,AUS,Australia,6109100005,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,NOR,Norway,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,USA,United States,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,AUS,Australia,6109100005,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,KOR,South Korea,6109101000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,BRA,Brazil,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,CHE,Switzerland,61091000-000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,HKG,Hong Kong,61091010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,NZL,New Zealand,6109100200L,knitted tank,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,CHN,China,6109100000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,JPN,Japan,610910020,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,DIST,Distributor countries,610910,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,CAN,Canada,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,GBR,United Kingdom,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,EU,Europe,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,NOR,Norway,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,KOR,South Korea,6109101000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,AUS,Australia,6109100005,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,DIST,Distributor countries,610910,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,CHN,China,6109100000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,HKG,Hong Kong,61091010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,CHE,Switzerland,61091000-000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,GBR,United Kingdom,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,BRA,Brazil,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,EU,Europe,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,USA,United States,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,JPN,Japan,610910020,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,NZL,New Zealand,6109100200L,knitted tank,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,CAN,Canada,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,BRA,Brazil,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,CHN,China,6109100000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,CHE,Switzerland,61091000-000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,JPN,Japan,610910010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,NOR,Norway,61091000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,AUS,Australia,6109100005,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,GBR,United Kingdom,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,KOR,South Korea,6109101000,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,HKG,Hong Kong,61091010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,USA,United States,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,CAN,Canada,6109100012,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,NZL,New Zealand,6109100200L,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knitted,EU,Europe,6109100010,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,Short Sleeves,Knit,DIST,Distributor countries,610910,knitted t-shirt,"54% Pima Cotton, 40% Polyester, 6% Elastane"
Men,T-Shirts,Knit,BRA,Brazil,61099000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,CAN,Canada,6109900010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knit,CHN,China,6109909000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,EU,Europe,6109902000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,NZL,New Zealand,6109901200E,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,USA,United States,6109901049,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,GBR,United Kingdom,6109902000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,CHE,Switzerland,61099000-000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,AUS,Australia,6109900028,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,KOR,South Korea,6109903010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knit,HKG,Hong Kong,61091010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knit,DIST,Distributor countries,610990,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,NOR,Norway,61099010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,JPN,Japan,610990200,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,BRA,Brazil,61099000,nan,
Men,T-Shirts,Knit,NOR,Norway,61099010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,CHE,Switzerland,61099000-000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,GBR,United Kingdom,6109902000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,AUS,Australia,6109900005,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,EU,Europe,6109902000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,HKG,Hong Kong,61099010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,CAN,Canada,6109900010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,DIST,Distributor countries,610990,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,USA,United States,6109901007,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,JPN,Japan,610990200,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,NZL,New Zealand,6109900200K,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,KOR,South Korea,6109903010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,T-Shirts,Knit,CHN,China,6109909000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,KOR,South Korea,6109903010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,NOR,Norway,61099010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,AUS,Australia,6109900028,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,-,BRA,Brazil,61099000,nan,
Men,Short Sleeves,Knitted,CHN,China,6109909000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,JPN,Japan,610990200,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,DIST,Distributor countries,610990,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,HKG,Hong Kong,61091010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,USA,United States,6109901049,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,NZL,New Zealand,6109901200E,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,EU,Europe,6109902000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,CHE,Switzerland,61099000-000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,GBR,United Kingdom,6109902000,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Short Sleeves,Knitted,CAN,Canada,6109900010,knitted t-shirt,"85% Polyester (Mechanical Recycled) - rPES, 15% Elastane - EL"
Men,Jackets,Woven,GBR,United Kingdom,6201401019,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,HKG,Hong Kong,62014090,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,DIST,Distributor countries,620140,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,BRA,Brazil,62014000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,JPN,Japan,620140200,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NZL,New Zealand,6201401000E,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,EU,Europe,6201401019,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,AUS,Australia,6201400004,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CAN,Canada,6201409011,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHN,China,6201409000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,KOR,South Korea,6201401010,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,USA,United States,6201407000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NOR,Norway,62014000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHE,Switzerland,62014000-000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NOR,Norway,62014000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,AUS,Australia,6201400004,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,GBR,United Kingdom,6201401019,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,BRA,Brazil,62014000,nan,
Men,Jackets,Woven,NZL,New Zealand,6201401000E,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,EU,Europe,6201401019,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,JPN,Japan,620140200,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,USA,United States,6201407000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CAN,Canada,6201409011,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,DIST,Distributor countries,620140,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHE,Switzerland,62014000-000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,KOR,South Korea,6201401010,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHN,China,6201409000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,HKG,Hong Kong,62014090,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,HKG,Hong Kong,62014090,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NOR,Norway,62014000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NZL,New Zealand,6201401000E,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,-,BRA,Brazil,62014000,nan,
Men,Jackets,Woven,KOR,South Korea,6201401010,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHN,China,6201409000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CAN,Canada,6201409011,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,USA,United States,6201407000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,EU,Europe,6201401019,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,DIST,Distributor countries,620140,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,AUS,Australia,6201400004,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,GBR,United Kingdom,6201401019,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHE,Switzerland,62014000-000,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,JPN,Japan,620140200,woven jacket,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CAN,Canada,6201409011,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,KOR,South Korea,6201401010,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NOR,Norway,62014000,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,USA,United States,6201404500,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,GBR,United Kingdom,6201401019,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,DIST,Distributor countries,620140,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,AUS,Australia,6201400004,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,BRA,Brazil,62014000,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NZL,New Zealand,6201401000E,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHE,Switzerland,62014000-000,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,EU,Europe,6201401019,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,JPN,Japan,620140200,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,HKG,Hong Kong,62014090,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHN,China,6201409000,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,JPN,Japan,620140200,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NZL,New Zealand,6201401000E,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CAN,Canada,6201409011,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHN,China,6201409000,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,HKG,Hong Kong,62014090,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,GBR,United Kingdom,6201401019,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,KOR,South Korea,6201401010,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,EU,Europe,6201401019,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHE,Switzerland,62014000-000,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,DIST,Distributor countries,620140,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,AUS,Australia,6201400004,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,BRA,Brazil,62014000,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,USA,United States,6201404500,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NOR,Norway,62014000,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,AUS,Australia,6201400004,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,GBR,United Kingdom,6201401019,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,USA,United States,6201404500,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHN,China,6201409000,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,BRA,Brazil,62014000,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,EU,Europe,6201401019,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NOR,Norway,62014000,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NZL,New Zealand,6201401000E,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CAN,Canada,6201409011,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,JPN,Japan,620140200,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHE,Switzerland,62014000-000,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,HKG,Hong Kong,62014090,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,DIST,Distributor countries,620140,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,KOR,South Korea,6201401010,woven anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,JPN,Japan,620140200,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHN,China,6201409000,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NZL,New Zealand,6201401000E,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,BRA,Brazil,62014000,nan,
Men,Jackets,Woven,AUS,Australia,6201400004,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,USA,United States,6201404500,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,NOR,Norway,62014000,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,DIST,Distributor countries,620140,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,HKG,Hong Kong,62014090,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,GBR,United Kingdom,6201401019,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CHE,Switzerland,62014000-000,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,EU,Europe,6201401019,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,KOR,South Korea,6201401010,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Jackets,Woven,CAN,Canada,6201409011,waterproof anorak,100% Polyamide (Nylon) - PA
Men,Shorts,Woven,KOR,South Korea,6203430000,woven shorts,100% Recycled Polyester
Men,Shorts,Woven,USA,United States,6203439030,woven shorts,100% Recycled Polyester
Men,Shorts,Woven,HKG,Hong Kong,62034319,woven shorts,100% Recycled Polyester
Men,Shorts,Woven,CHE,Switzerland,62034300-000,woven shorts,100% Recycled Polyester
Men,Shorts,Woven,GBR,United Kingdom,6203439000,woven shorts,100% Recycled Polyester
Men,Shorts,Woven,JPN,Japan,620343200,woven shorts,100% Recycled Polyester
Men,Shorts,-,BRA,Brazil,62034300,nan,
Men,Shorts,Woven,EU,Europe,6203439000,woven shorts,100% Recycled Polyester
Men,Shorts,Woven,DIST,Distributor countries,620343,woven shorts,100% Recycled Polyester
Men,Shorts,Woven,NOR,Norway,62034301,woven shorts,100% Recycled Polyester
