tariff_code,tariff_country_description,material_composition,gender_name,customs_description,outsole_material,product_type
6404110000,Europe,Upper: Textile / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Mid Cut
6402999800,Europe,Upper: Plastic / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Low cut
6402919000,Europe,Upper: Plastic / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Mid Cut
6404110000,Europe,Upper: Textile / Sole: Rubber,Women,Shoes,Rubber,Mid Cut
6404110000,Europe,Upper: Textile / Sole: Rubber,Women,Shoes,Pebax,Low cut
6404110000,Europe,Upper: Textile / Sole: Rubber,Youth,Shoes,Pebax,Low cut
6404110000,Europe,Upper: Textile / Sole: Rubber,Youth,Shoes,Pebax,Mid Cut
6404110000,Europe,Upper: Textile / Sole: Rubber,Youth,Shoes,Missiongrip Rubber,Mid Cut
6404110000,Europe,Upper: Textile / Sole: Rubber,Youth,Shoes,Missiongrip Rubber,Low cut
6402999600,Europe,Upper: Plastic / Sole: Rubber,Men,Shoes,Missiongrip Rubber,Low cut
6402919000,Europe,Upper: Plastic / Sole: Rubber,Men,Shoes,Missiongrip Rubber,Mid Cut
6402999100,Europe,Upper: Plastic / Sole: Rubber,Men,Shoes,Missiongrip Rubber,Mid Cut
6402999800,Europe,Upper: Plastic / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Mid Cut
6402999100,Europe,Upper: Plastic / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Mid Cut
6404110000,Europe,Upper: Textile / Sole: Rubber,Kids,Shoes,Rubber,Low cut
6402999100,Europe,Upper: Plastic / Sole: Rubber,Kids,Shoes,Rubber,Low cut
6404110000,Europe,Upper: Textile / Sole: Rubber,Men,Shoes,TPU,Low cut
6402999600,Europe,"Upper:Textile Polyester 33%, Synthetic thermoplastic polyurethane  67%. Sole: Rubber",Men,Low cut Shoes,Rubber,Low cut
6404110000,Europe,"Upper:Textile Polyester 60%, Synthetic thermoplastic polyurethane 40%. Sole: Rubber",Men,Low cut Shoes,Rubber,Low cut
6404110000,Europe,Upper: Textile / Sole: Rubber,Men,Cyclon Shoes,Pebax,Low cut
6404110000,Europe,"Upper:Textile Polyester 71%, Synthetic thermoplastic polyurethane  29%. Sole: Rubber",Men,Low cut Shoes,Rubber,Low cut
6404110000,Europe,"Upper:Textile Polyester 72%, Synthetic thermoplastic polyurethane  28%. Sole: Rubber",Men,Low cut Shoes,Rubber,Low cut
6404110000,Europe,"Upper:Textile Polyester 52%, Synthetic thermoplastic polyurethane  48%. Sole: Rubber",Men,Low cut Shoes,Rubber,Low cut
6402999600,Europe,"Upper: Upper:Textile Polyester 33%, Synthetic thermoplastic polyurethane  67%. Sole: Rubber / Sole: Rubber",Men,Shoes,Rubber,Low cut
6404110000,Europe,"Upper:Textile Polyester 56%, Synthetic thermoplastic polyurethane 44%. Sole: Rubber",Men,Low cut Shoes,Missiongrip Rubber,Low cut
6402999300,Europe,Upper: Synthetic thermoplastic polyurethane  100%. Sole: Rubber,Unisex,Low cut Shoes,Rubber,Low cut
6402919000,Europe,Upper: Plastic / Sole: Rubber,Women,Shoes,Rubber,Mid Cut
6402999100,Europe,"Upper:Textile Polyester 33%, Synthetic thermoplastic polyurethane  67%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6402999800,Europe,"Upper:Textile Polyester 33%, Synthetic thermoplastic polyurethane  67%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6404110000,Europe,"Upper:Textile Polyester 89%, Synthetic thermoplastic polyurethane  11%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6404110000,Europe,Upper: Textile / Sole: Rubber,Women,Cyclon Shoes,Pebax,Low cut
6404110000,Europe,"Upper:Textile Polyester 71%, Synthetic thermoplastic polyurethane  29%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6402999800,Europe,"Upper:Textile Polyester 44%, Synthetic thermoplastic polyurethane  56%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6402999100,Europe,"Upper:Textile Polyester 44%, Synthetic thermoplastic polyurethane  56%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6404110000,Europe,"Upper:Textile Polyester 72%, Synthetic thermoplastic polyurethane  28%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6404110000,Europe,"Upper:Textile Polyester 58%, Synthetic thermoplastic polyurethane  42%. Sole: Rubber",Women,High Cut Shoes,Missiongrip Rubber,High Cut
6404110000,Europe,"Upper:Textile Polyester 52%, Synthetic thermoplastic polyurethane  48%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6402999800,Europe,"Upper:Textile Polyester 33%, Synthetic thermoplastic polyurethane  67%. Sole: Rubber",Women,Shoes,Rubber,Low cut
6404110000,Europe,"Upper:Textile Polyester 84%, Synthetic thermoplastic polyurethane  16%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
6402999600,Europe,Upper: Plastic / Sole: Rubber,Men,Shoes,Helion,Low cut
6402999100,Europe,Upper: Plastic / Sole: Rubber,Men,Shoes,Helion,Low cut
6404110000,Europe,Upper: Textile / Sole: Rubber,Women,Shoes,TPU,Low cut
6404110000,Europe,"Upper:Textile Polyester 60%, Synthetic thermoplastic polyurethane 40%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
64029100,Hong Kong,Upper: Plastic / Sole: Rubber,Men,Shoes,Rubber,Mid Cut
64029100,Hong Kong,Upper: Plastic / Sole: Rubber,Men,Shoes,Missiongrip Rubber,Mid Cut
64029100,Hong Kong,Upper: Plastic / Sole: Rubber,Women,Shoes,Rubber,Mid Cut
640411000,Japan,Upper: Textile / Sole: Rubber,Men,Shoes,Rubber,Low cut
640411000,Japan,"Upper:Textile Polyester 58%, Synthetic thermoplastic polyurethane  31%, Rubber 11%. Sole: Rubber",Men,Low cut Shoes,Rubber,Low cut
640299010,Japan,Upper: Plastic / Sole: Rubber,Men,Shoes,Rubber,Low cut
640411000,Japan,Upper: Textile / Sole: Rubber,Men,Shoes,Missiongrip Rubber,Low cut
640411000,Japan,Upper: Textile / Sole: Rubber,Men,Shoes,Missiongrip Rubber,Mid Cut
640291000,Japan,Upper: Plastic / Sole: Rubber,Men,Shoes,Rubber,Mid Cut
640411000,Japan,Upper: Textile / Sole: Rubber,Men,Shoes,Rubber,Mid Cut
640411000,Japan,Upper: Textile / Sole: Rubber,Women,Shoes,Rubber,Low cut
640411000,Japan,"Upper:Textile Polyester 58%, Synthetic thermoplastic polyurethane  31%, Rubber 11%. Sole: Rubber",Women,Low cut Shoes,Rubber,Low cut
640411000,Japan,Upper: Textile / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Low cut
640411000,Japan,Upper: Textile / Sole: Rubber,Women,Shoes,Missiongrip Rubber,High Cut
640411000,Japan,Upper: Textile / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Mid Cut
640291000,Japan,Upper: Plastic / Sole: Rubber,Women,Shoes,Missiongrip Rubber,Mid Cut
640411000,Japan,Upper: Textile / Sole: Rubber,Women,Shoes,Rubber,Mid Cut
640411000,Japan,Upper: Textile / Sole: Rubber,Women,Shoes,Pebax,Low cut
640411000,Japan,Upper: Textile / Sole: Rubber,Youth,Shoes,Pebax,Low cut
640411000,Japan,Upper: Textile / Sole: Rubber,Youth,Shoes,Pebax,Mid Cut
640411000,Japan,Upper: Textile / Sole: Rubber,Youth,Shoes,Missiongrip Rubber,Mid Cut
