timestamp,country,product_type,input_tokens,output_tokens,total_tokens
2025-07-23 10:30:43,united states,knitted sweatshirt Hoodies & Sweatshirts,55218,2188,57406
2025-07-23 10:30:43,united states,knitted pants Sweatpants,55188,2302,57490
2025-07-23 10:30:45,united states,knitted pants Trousers,55301,2532,57833
2025-07-23 10:30:45,united states,knitted sweatshirt Sweatshirts,55244,2516,57760
2025-07-23 10:30:45,united states,knitted hoodie Hoodies & Sweatshirts,55389,2520,57909
2025-07-23 10:30:46,united states,hoodie Sweatshirts,55375,2610,57985
2025-07-23 10:30:48,united states,knitted pants Pants,55186,2392,57578
2025-07-23 10:30:48,united states,knitted t-shirt Short Sleeves,55439,2552,57991
2025-07-23 10:30:49,united states,knitted sweatshirt Hoodies & Sweatshirts,55200,2722,57922
2025-07-23 10:31:01,united states,knitted sweatshirt Sweatshirts,55188,2683,57871
2025-07-23 10:38:10,united states,,55202,2242,57444
2025-07-23 10:38:44,united states,,55202,2242,57444
2025-07-23 10:45:48,united states,knitted pants Trousers,55321,2072,57393
2025-07-23 10:45:48,united states,knitted pants Pants,55206,2054,57260
2025-07-23 10:45:49,united states,hoodie Sweatshirts,55395,2425,57820
2025-07-23 10:45:50,united states,knitted pants Sweatpants,55208,2268,57476
2025-07-23 10:45:51,united states,knitted t-shirt Short Sleeves,55459,2587,58046
2025-07-23 10:45:53,united states,knitted sweatshirt Hoodies & Sweatshirts,55450,3239,58689
2025-07-23 10:45:53,united states,knitted hoodie Hoodies & Sweatshirts,55409,3759,59168
2025-07-23 10:46:23,united states,,55222,2407,57629
2025-07-23 11:52:40,united states,knitted pants Trousers,55321,2072,57393
2025-07-23 11:52:40,united states,knitted pants Pants,55206,2054,57260
2025-07-23 11:52:42,united states,knitted t-shirt Short Sleeves,55459,2587,58046
2025-07-23 11:52:42,united states,hoodie Sweatshirts,55395,2425,57820
2025-07-23 11:52:43,united states,knitted pants Sweatpants,55208,2268,57476
2025-07-23 11:52:47,united states,knitted hoodie Hoodies & Sweatshirts,55409,3759,59168
2025-07-23 11:52:47,united states,knitted sweatshirt Hoodies & Sweatshirts,55481,4084,59565
2025-07-23 11:54:26,united states,knitted pants Trousers,55321,2072,57393
2025-07-23 11:54:26,united states,knitted pants Pants,55206,2054,57260
2025-07-23 11:54:27,united states,knitted pants Sweatpants,55208,2268,57476
2025-07-23 11:54:27,united states,knitted t-shirt Short Sleeves,55459,2587,58046
2025-07-23 11:54:28,united states,hoodie Sweatshirts,55395,2425,57820
2025-07-23 11:54:31,united states,knitted hoodie Hoodies & Sweatshirts,55409,3759,59168
2025-07-23 11:54:31,united states,knitted sweatshirt Hoodies & Sweatshirts,55481,2553,58034
2025-07-23 11:56:48,united states,hoodie Sweatshirts,55395,2425,57820
2025-07-23 11:56:48,united states,knitted sweatshirt Hoodies & Sweatshirts,55481,2553,58034
2025-07-23 11:56:50,united states,knitted t-shirt Short Sleeves,55459,2587,58046
2025-07-23 11:56:53,united states,knitted hoodie Hoodies & Sweatshirts,55409,3759,59168
2025-07-23 12:10:11,united states,hoodie Sweatshirts,55395,2425,57820
2025-07-23 12:10:12,united states,knitted sweatshirt Hoodies & Sweatshirts,55481,2553,58034
2025-07-23 12:10:14,united states,knitted hoodie Hoodies & Sweatshirts,55409,3759,59168
2025-07-23 14:30:32,united states,knitted shorts Tights,55206,2196,57402
2025-07-23 14:30:33,united states,bra Bras,25639,1561,27200
2025-07-23 14:30:33,united states,knitted t-shirt T-Shirts,55210,2635,57845
2025-07-23 14:30:34,united states,bra Bras,25620,1917,27537
2025-07-23 14:30:36,united states,bra Bras,25671,1988,27659
2025-07-23 14:30:37,united states,knitted short tights Tights,55202,3896,59098
2025-07-23 14:30:42,united states,bra Bras,25452,2645,28097
2025-07-23 14:31:20,united states,,25335,2023,27358
2025-07-23 14:53:49,united states,knitted t-shirt T-Shirts,55210,2635,57845
2025-07-23 14:53:49,united states,bra Bras,25639,1561,27200
2025-07-23 14:53:53,united states,bra Bras,25620,2380,28000
2025-07-23 14:53:58,united states,bra Bras,25483,2443,27926
2025-07-23 14:53:59,united states,bra Bras,25671,1988,27659
2025-07-23 14:54:01,united states,knitted shorts Tights,55206,2196,57402
2025-07-23 14:54:37,united states,knitted short tights Tights,55202,3896,59098
2025-07-23 15:03:12,united states,bra Bras,25331,1785,27116
2025-07-23 15:03:12,united states,knitted t-shirt T-Shirts,55210,2635,57845
2025-07-23 15:03:14,united states,bra Bras,25612,2245,27857
2025-07-23 15:03:15,united states,bra Bras,25618,2432,28050
2025-07-23 15:03:16,united states,bra Bras,25637,2439,28076
2025-07-23 15:03:30,united states,knitted short tights Tights,55202,3896,59098
2025-07-23 15:03:46,united states,knitted shorts Tights,55206,2196,57402
2025-07-23 15:16:46,united states,knitted t-shirt T-Shirts,55333,2636,57969
2025-07-23 15:16:51,united states,bra Bras,25454,1769,27223
2025-07-23 15:16:51,united states,bra Bras,25741,1905,27646
2025-07-23 15:16:52,united states,bra Bras,25735,2485,28220
2025-07-23 15:16:53,united states,bra Bras,25760,2570,28330
2025-07-23 15:24:29,united states,knitted t-shirt T-Shirts,55333,2636,57969
2025-07-23 15:24:31,united states,bra Bras,25454,1602,27056
2025-07-23 15:24:32,united states,knitted shorts Tights,55329,2073,57402
2025-07-23 15:24:33,united states,bra Bras,25741,1905,27646
2025-07-23 15:24:49,united states,bra Bras,25735,2485,28220
2025-07-23 15:25:54,united states,bra Bras,25760,2570,28330
2025-07-23 16:12:34,united states,bra Bras,25454,1769,27223
2025-07-23 16:12:34,united states,knitted t-shirt T-Shirts,55333,2636,57969
2025-07-23 16:12:34,united states,bra Bras,25741,1905,27646
2025-07-23 16:12:40,united states,bra Bras,25735,2381,28116
2025-07-23 16:12:41,united states,bra Bras,25760,2595,28355
2025-07-23 16:17:30,norway,knitted t-shirt T-Shirts,42259,2139,44398
2025-07-23 16:17:31,norway,woven jacket Winter Jackets,43319,2423,45742
2025-07-23 16:17:32,norway,knitted hoodie Sweatshirts,42436,2193,44629
2025-07-23 16:17:34,norway,woven jacket Winter Jackets,43387,2185,45572
2025-07-23 16:17:35,norway,knitted hoodie Sweatshirts,42452,1925,44377
2025-07-23 16:17:35,norway,knitted tights short Tights,42619,2531,45150
2025-07-23 16:17:36,norway,woven pants Pants,43034,2396,45430
2025-07-23 16:19:27,united states,bra Bras,25454,1769,27223
2025-07-23 16:19:29,united states,knitted t-shirt T-Shirts,55333,2636,57969
2025-07-23 16:19:30,united states,bra Bras,25798,2346,28144
2025-07-23 16:19:33,united states,bra Bras,25760,2570,28330
2025-07-23 16:19:34,united states,bra Bras,25735,2485,28220
2025-07-23 16:19:38,united states,knitted shorts Tights,55329,2073,57402
2025-07-23 16:28:01,united states,bra Bras,25454,1602,27056
2025-07-23 16:29:28,united states,bra Bras,25511,1450,26961
2025-07-23 16:39:48,united states,bra Bras,109605,2811,112416
2025-07-23 16:40:51,united states,bra Bras,109605,2811,112416
2025-07-23 16:45:54,united states,knitted short tights Tights,55345,2326,57671
2025-07-24 11:38:12,united states,knitted t-shirt T-Shirts,55728,2506,58234
2025-07-24 11:38:12,united states,knitted t-shirt Short Sleeves,55602,2450,58052
2025-07-24 11:38:12,united states,knitted t-shirt T-Shirts,55343,2596,57939
2025-07-24 11:38:13,united states,knitted t-shirt T-Shirts,55379,2859,58238
2025-07-24 11:38:14,united states,knitted pants Pants,55614,3141,58755
2025-07-24 11:43:20,united states,knitted t-shirt Short Sleeves,55702,2561,58263
2025-07-24 11:43:21,united states,knitted t-shirt T-Shirts,55828,2736,58564
2025-07-24 11:43:24,united states,knitted t-shirt T-Shirts,55798,2692,58490
2025-07-24 11:43:25,united states,knitted tights short Tights,55919,2681,58600
2025-07-24 11:43:28,united states,knitted singlet Tanks,55441,2734,58175
2025-07-24 11:44:03,united states,knitted t-shirt Short Sleeves,55702,2561,58263
2025-07-24 11:44:04,united states,knitted tights short Tights,55919,2165,58084
2025-07-24 11:44:05,united states,knitted t-shirt T-Shirts,55828,2736,58564
2025-07-24 11:44:13,united states,knitted t-shirt T-Shirts,55798,2692,58490
2025-07-24 11:44:18,united states,knitted singlet Tanks,55441,2734,58175
2025-07-24 13:47:02,united states,knitted t-shirt Short Sleeves,55702,2561,58263
2025-07-24 13:47:05,united states,knitted t-shirt T-Shirts,55828,2736,58564
2025-07-24 13:47:05,united states,knitted singlet Tanks,55441,2734,58175
2025-07-24 13:47:06,united states,knitted t-shirt T-Shirts,55798,2692,58490
2025-07-24 15:37:54,canada,knitted hoodie Sweatshirts,55078,2320,57398
2025-07-24 15:37:54,canada,hoodie Sweatshirts,55092,2529,57621
2025-07-24 15:37:55,canada,knitted tank T-Shirts,55351,2229,57580
2025-07-24 15:37:56,canada,knitted t-shirt T-Shirts,55435,2906,58341
2025-07-24 15:37:57,canada,woven shorts Shorts,54776,2528,57304
2025-07-24 15:37:57,canada,knitted tank T-Shirts,55357,2796,58153
2025-07-24 15:37:57,canada,t-shirt T-Shirts,55398,2271,57669
2025-07-24 15:37:59,canada,knitted t-shirt T-Shirts,55084,2930,58014
2025-07-24 15:38:45,canada,knitted t-shirt T-Shirts,55136,3099,58235
2025-07-24 15:41:33,australia,knitted t-shirt T-Shirts,15333,2015,17348
2025-07-24 15:41:33,australia,knitted t-shirt T-Shirts,15385,2016,17401
2025-07-24 15:41:33,australia,knitted t-shirt T-Shirts,15684,2160,17844
2025-07-24 15:41:34,australia,knitted tank T-Shirts,15606,1878,17484
2025-07-24 15:41:34,australia,t-shirt T-Shirts,15647,2170,17817
2025-07-24 15:41:35,australia,woven shorts Shorts,14790,2258,17048
2025-07-24 15:41:36,australia,knitted t-shirt T-Shirts,15649,2469,18118
2025-07-24 15:41:36,australia,knitted tank T-Shirts,15600,2568,18168
2025-07-24 15:41:41,australia,knitted sweatshirt Sweatshirts,15538,862,16400
2025-07-24 15:41:42,australia,woven shorts Shorts,14761,889,15650
2025-07-24 15:41:42,australia,woven shorts Shorts,15039,857,15896
2025-07-24 15:41:45,australia,knitted hoodie Sweatshirts,15327,2082,17409
2025-07-24 15:41:45,australia,hoodie Sweatshirts,15341,2057,17398
2025-07-24 15:41:48,australia,knitted tights Tights,15710,2015,17725
2025-07-24 15:41:48,australia,knitted tights half Tights,15484,2200,17684
2025-07-24 15:42:19,australia,knitted pants Pants,15811,2551,18362
2025-07-24 16:18:20,australia,knitted sweatshirt Sweatshirts,15538,862,16400
2025-07-24 16:18:20,australia,woven shorts Shorts,15039,857,15896
2025-07-24 16:18:20,australia,t-shirt T-Shirts,15647,936,16583
2025-07-24 16:18:25,australia,knitted sweatshirt Sweatshirts,15377,2045,17422
2025-07-24 16:18:25,australia,hoodie Sweatshirts,15341,2057,17398
2025-07-24 16:18:26,australia,woven shorts Shorts,14761,2116,16877
2025-07-24 16:18:26,australia,tights Tights,15345,2185,17530
2025-07-24 16:18:28,australia,knitted hoodie Sweatshirts,15327,2698,18025
2025-07-24 16:18:29,australia,knitted tights Tights,15710,2015,17725
2025-07-24 16:18:30,australia,knitted tights half Tights,15484,2200,17684
2025-07-24 16:19:26,australia,woven pants Pants,14668,2183,16851
2025-07-24 16:19:26,australia,hoodie Sweatshirts,15403,2185,17588
2025-07-24 16:19:27,australia,woven pants Pants,14927,2266,17193
2025-07-24 16:19:27,australia,woven shorts Shorts,14761,2522,17283
2025-07-24 16:19:28,australia,woven pants Pants,14821,2467,17288
2025-07-24 16:19:28,australia,woven shorts Shorts,15018,2465,17483
2025-07-24 16:19:28,australia,woven shorts Shorts,15003,2400,17403
2025-07-24 16:19:29,australia,knitted pants Pants,15403,2200,17603
2025-07-24 16:19:32,australia,woven shorts Shorts,14680,2507,17187
2025-07-24 16:20:25,australia,knitted tank T-Shirts,15347,1926,17273
2025-07-24 16:20:25,australia,knitted t-shirt T-Shirts,15719,2059,17778
2025-07-24 16:20:26,australia,knitted joggers Pants,15361,2027,17388
2025-07-24 16:20:27,australia,knitted joggers Pants,15377,2423,17800
2025-07-24 16:20:28,australia,knitted tights Tights,15343,2160,17503
2025-07-24 16:20:29,australia,knitted sweatshirt Sweatshirts,15349,2534,17883
2025-07-24 16:20:29,australia,knitted hoodie Sweatshirts,15375,2353,17728
2025-07-24 16:20:30,australia,knitted shorts Shorts,15534,1985,17519
2025-07-24 16:21:26,australia,woven pants Pants,14668,2189,16857
2025-07-24 16:21:27,australia,woven pants Pants,14987,2473,17460
2025-07-24 16:21:28,australia,knitted hoodie Sweatshirts,15405,2349,17754
2025-07-24 16:21:39,australia,knitted crop top Sweatshirts,15542,2395,17937
2025-07-24 16:35:39,australia,knitted t-shirt T-Shirts,15351,772,16123
2025-07-24 16:35:44,australia,hoodie Sweatshirts,15403,2158,17561
2025-07-24 16:35:44,australia,hoodie Sweatshirts,15341,2057,17398
2025-07-24 16:35:44,australia,hoodie Sweatshirts,15363,2066,17429
2025-07-24 16:35:45,australia,knitted t-shirt T-Shirts,15359,2075,17434
2025-07-24 16:35:45,australia,long sleeves top Sweatshirts,15343,1906,17249
2025-07-24 16:35:47,australia,knitted hoodie Sweatshirts,15327,2698,18025
2025-07-24 16:35:47,australia,woven pants Pants,14674,2388,17062
2025-07-24 16:35:47,australia,knitted tights Tights,15337,2487,17824
2025-07-24 16:35:48,australia,knitted pants Pants,15811,2256,18067
2025-07-24 16:36:40,australia,knitted t-shirt T-Shirts,15670,840,16510
2025-07-24 16:36:45,australia,knitted hoodie Sweatshirts,15375,1939,17314
2025-07-24 16:36:46,australia,woven shorts Shorts,14777,2000,16777
2025-07-24 16:36:47,australia,knitted sweatshirt Sweatshirts,15349,2038,17387
2025-07-24 16:36:47,australia,woven shorts Shorts,15001,2324,17325
2025-07-24 16:36:48,australia,woven pants Pants,14668,2498,17166
2025-07-24 16:36:50,australia,woven sweatshirt Sweatshirts,14690,2444,17134
2025-07-24 16:47:25,australia,knitted t-shirt T-Shirts,15351,837,16188
2025-07-24 16:47:31,australia,long sleeves top Sweatshirts,15343,1863,17206
2025-07-24 16:47:32,australia,hoodie Sweatshirts,15341,2031,17372
2025-07-24 16:47:33,australia,hoodie Sweatshirts,15403,2185,17588
2025-07-24 16:47:33,australia,hoodie Sweatshirts,15363,2035,17398
2025-07-24 16:47:34,australia,knitted t-shirt T-Shirts,15359,2075,17434
2025-07-24 16:47:35,australia,knitted hoodie Sweatshirts,15327,2698,18025
2025-07-24 16:47:37,australia,knitted pants Pants,15811,2551,18362
2025-07-24 16:47:40,australia,woven pants Pants,14674,2240,16914
2025-07-24 16:47:42,australia,knitted tights Tights,15337,2487,17824
2025-07-24 16:48:25,australia,knitted t-shirt T-Shirts,15670,840,16510
2025-07-24 16:48:31,australia,knitted hoodie Sweatshirts,15375,1939,17314
2025-07-24 16:48:33,australia,woven shorts Shorts,14777,2145,16922
2025-07-24 16:48:34,australia,woven shorts Shorts,15001,2299,17300
2025-07-24 16:48:34,australia,woven sweatshirt Sweatshirts,14690,2444,17134
2025-07-24 16:48:34,australia,knitted sweatshirt Sweatshirts,15349,2038,17387
2025-07-24 16:48:36,australia,woven pants Pants,14668,2498,17166
2025-07-24 16:58:28,australia,knitted t-shirt T-Shirts,15351,772,16123
2025-07-24 16:58:33,australia,hoodie Sweatshirts,15341,2057,17398
2025-07-24 16:58:33,australia,hoodie Sweatshirts,15363,2066,17429
2025-07-24 16:58:33,australia,hoodie Sweatshirts,15403,2185,17588
2025-07-24 16:58:33,australia,knitted hoodie Sweatshirts,15327,2082,17409
2025-07-24 16:58:35,australia,long sleeves top Sweatshirts,15343,1863,17206
2025-07-24 16:58:35,australia,knitted t-shirt T-Shirts,15359,2485,17844
2025-07-24 16:58:36,australia,woven pants Pants,14674,2240,16914
2025-07-24 16:58:38,australia,knitted tights Tights,15337,2444,17781
2025-07-24 16:58:39,australia,knitted pants Pants,15811,2551,18362
2025-07-24 16:59:27,australia,knitted t-shirt T-Shirts,15670,840,16510
2025-07-24 16:59:33,australia,knitted sweatshirt Sweatshirts,15349,2038,17387
2025-07-24 16:59:34,australia,woven pants Pants,14668,2498,17166
2025-07-24 16:59:35,australia,woven sweatshirt Sweatshirts,14690,2503,17193
2025-07-24 16:59:35,australia,woven shorts Shorts,14777,2145,16922
2025-07-24 16:59:37,australia,knitted hoodie Sweatshirts,15375,2353,17728
2025-07-24 16:59:37,australia,woven shorts Shorts,15001,2299,17300
2025-07-24 17:21:11,australia,hoodie Sweatshirts,15363,2035,17398
2025-07-24 17:21:11,australia,knitted t-shirt T-Shirts,15351,772,16123
2025-07-24 17:21:12,australia,knitted hoodie Sweatshirts,15327,2082,17409
2025-07-24 17:21:12,australia,hoodie Sweatshirts,15403,2185,17588
2025-07-24 17:21:13,australia,hoodie Sweatshirts,15341,2031,17372
2025-07-24 17:21:13,australia,knitted t-shirt T-Shirts,15359,2485,17844
2025-07-24 17:21:16,australia,knitted pants Pants,15811,2256,18067
2025-07-24 17:21:17,australia,knitted tights Tights,15337,2487,17824
2025-07-24 17:22:06,australia,knitted t-shirt T-Shirts,15670,840,16510
2025-07-24 17:22:12,australia,knitted sweatshirt Sweatshirts,15349,2038,17387
2025-07-24 17:22:13,australia,woven pants Pants,14668,2498,17166
2025-07-24 17:22:13,australia,woven sweatshirt Sweatshirts,14690,2444,17134
2025-07-24 17:22:16,australia,woven shorts Shorts,15001,2324,17325
2025-07-24 17:22:17,australia,woven shorts Shorts,14777,2145,16922
2025-07-24 17:22:54,australia,knitted hoodie Sweatshirts,15375,2353,17728
2025-07-25 13:54:47,australia,knitted t-shirt T-Shirts,15351,772,16123
2025-07-25 13:54:53,australia,long sleeves top Sweatshirts,15343,1863,17206
2025-07-25 13:54:54,australia,hoodie Sweatshirts,15363,2035,17398
2025-07-25 13:54:54,australia,knitted t-shirt T-Shirts,15359,2075,17434
2025-07-25 13:54:54,australia,knitted hoodie Sweatshirts,15327,2082,17409
2025-07-25 13:54:54,australia,hoodie Sweatshirts,15341,2031,17372
2025-07-25 13:54:54,australia,hoodie Sweatshirts,15403,2185,17588
2025-07-25 13:54:56,australia,knitted tights Tights,15337,2487,17824
2025-07-25 13:54:56,australia,woven pants Pants,14674,2388,17062
2025-07-25 13:54:57,australia,knitted pants Pants,15811,2551,18362
2025-07-25 13:55:54,australia,woven shorts Shorts,14777,2145,16922
2025-07-25 13:55:55,australia,knitted hoodie Sweatshirts,15375,2353,17728
2025-07-25 13:55:55,australia,woven shorts Shorts,15001,2299,17300
2025-07-25 13:55:55,australia,knitted t-shirt T-Shirts,15670,2228,17898
2025-07-25 13:55:56,australia,woven sweatshirt Sweatshirts,14690,2444,17134
2025-07-25 13:55:56,australia,woven pants Pants,14668,2498,17166
2025-07-25 13:55:56,australia,knitted sweatshirt Sweatshirts,15349,2534,17883
2025-07-25 13:59:07,australia,knitted tank T-Shirts,15345,2105,17450
2025-07-25 13:59:07,australia,knitted pants Pants,15351,2075,17426
2025-07-25 13:59:07,australia,knitted t-shirt T-Shirts,15377,2208,17585
2025-07-25 13:59:07,australia,woven jacket Winter Jackets,14975,2259,17234
2025-07-25 13:59:08,australia,woven pants Pants,14682,2159,16841
2025-07-25 13:59:08,australia,woven jacket Winter Jackets,15045,2296,17341
2025-07-25 13:59:08,australia,knitted pants Pants,15339,2210,17549
2025-07-25 13:59:08,australia,knitted tights short Tights,15711,2266,17977
2025-07-25 13:59:09,australia,woven pants Pants,14666,2518,17184
2025-07-25 13:59:11,australia,knitted long sleeves t-shirt T-Shirts,15539,2922,18461
2025-07-25 13:59:59,australia,knitted tank Short Sleeves,15492,624,16116
2025-07-25 14:00:06,australia,knitted crop top Crop Tops,9694,1879,11573
2025-07-25 14:00:07,australia,woven pants Trousers,14660,1982,16642
2025-07-25 14:00:08,australia,knitted singlet Tanks,15339,2261,17600
2025-07-25 14:00:08,australia,knitted shorts Tights,15341,2304,17645
2025-07-25 14:00:08,australia,knitted pants Pants,15612,2481,18093
2025-07-25 14:00:09,australia,knitted tights Tights,15347,2561,17908
2025-07-25 14:00:09,australia,knitted t-shirt T-Shirts,15696,2425,18121
2025-07-25 14:00:09,australia,knitted t-shirt Short Sleeves,15504,2521,18025
2025-07-25 14:00:13,australia,woven shorts Shorts,14765,2997,17762
2025-07-25 14:01:00,australia,crop top Crop Tops,9785,675,10460
2025-07-25 14:01:00,australia,knitted t-shirt T-Shirts,15649,702,16351
2025-07-25 14:01:01,australia,knitted t-shirt T-Shirts,15649,858,16507
2025-07-25 14:01:02,australia,knitted t-shirt Short Sleeves,15405,1139,16544
2025-07-25 14:01:08,australia,woven pants Trousers,14672,2203,16875
2025-07-25 14:01:08,australia,woven pants Pants,14965,2284,17249
2025-07-25 14:01:09,australia,woven padded vest Vests,14987,2502,17489
2025-07-25 14:01:10,australia,woven shorts Shorts,14680,2544,17224
2025-07-25 14:01:11,australia,woven pants Trousers,14688,2701,17389
2025-07-25 14:01:16,australia,knitted t-shirt T-Shirts,15696,3997,19693
2025-07-25 14:02:00,australia,bra Bras,14678,699,15377
2025-07-25 14:02:00,australia,knitted t-shirt T-Shirts,15341,711,16052
2025-07-25 14:02:07,australia,knitted t-shirt Short Sleeves,15600,2313,17913
2025-07-25 14:02:08,australia,knitted hoodie Sweatshirts,15522,2465,17987
2025-07-25 14:02:09,australia,knitted t-shirt Short Sleeves,15359,2543,17902
2025-07-25 14:02:10,australia,bra Bras,15644,2476,18120
2025-07-25 14:02:10,australia,woven pants Pants,14925,2738,17663
2025-07-25 14:02:10,australia,knitted tights Tights,15347,2561,17908
2025-07-25 14:02:11,australia,knitted tank Tanks,15385,2766,18151
2025-07-25 14:02:11,australia,knitted hoodie Sweatshirts,15538,2761,18299
2025-07-25 14:03:01,australia,knitted t-shirt Short Sleeves,15405,841,16246
2025-07-25 14:18:32,australia,bra Bras,14678,699,15377
2025-07-25 14:18:32,australia,crop top Crop Tops,9785,675,10460
2025-07-25 14:18:33,australia,knitted t-shirt Short Sleeves,15405,841,16246
2025-07-25 14:18:33,australia,knitted t-shirt T-Shirts,15649,858,16507
2025-07-25 14:18:33,australia,knitted t-shirt Short Sleeves,15405,841,16246
2025-07-25 14:18:40,australia,knitted t-shirt Short Sleeves,15359,2526,17885
2025-07-25 14:18:41,australia,bra Bras,15644,2476,18120
2025-07-25 14:18:42,australia,woven padded vest Vests,14987,2502,17489
2025-07-25 14:18:42,australia,woven pants Trousers,14672,2492,17164
2025-07-25 14:18:43,australia,woven pants Trousers,14688,2701,17389
2025-08-07 11:39:27,united states,bra Bras,55767,2144,57911
2025-08-07 11:39:29,united states,bra Bras,55799,2569,58368
2025-08-07 11:39:29,united states,bra Bras,55611,2783,58394
2025-08-07 11:39:29,united states,bra Bras,55748,2451,58199
2025-08-07 11:55:34,united states,bra Bras,55748,2451,58199
2025-08-07 11:55:38,united states,bra Bras,55767,2144,57911
2025-08-07 11:55:54,united states,bra Bras,55611,2588,58199
2025-08-07 11:56:07,united states,bra Bras,55799,2569,58368
2025-08-07 13:54:31,united states,bra Bras,55767,2144,57911
2025-08-07 13:54:32,united states,bra Bras,55748,2451,58199
2025-08-07 13:55:24,united states,bra Bras,55799,2425,58224
2025-08-07 13:55:43,united states,bra Bras,55767,2144,57911
2025-08-07 13:55:44,united states,bra Bras,55611,1929,57540
2025-08-07 13:55:51,united states,bra Bras,55748,2451,58199
2025-08-07 13:55:56,united states,bra Bras,55799,2425,58224
2025-08-07 14:19:24,united states,bra Bras,55611,1929,57540
2025-08-07 14:19:26,united states,bra Bras,55748,2451,58199
2025-08-07 14:19:29,united states,bra Bras,55767,2144,57911
2025-08-07 14:19:46,united states,bra Bras,55799,2425,58224
2025-08-07 21:05:40,norway,woven pants Pants,43038,2082,45120
2025-08-07 21:05:40,norway,knitted hoodie Sweatshirts,42472,2000,44472
