idx,input_country,input_product,input_material,input_construction,input_gender,product_description,suggested_hs_code_1,certainty_1_percent,actual_hs_code_from_dataset,selected_hs_code,certainty (%),status,selected_reasoning,timestamp
20,NORWAY,knitted tank T-Shirts,"85% Recycled Polyester, 15% Elastane - EL",Knitted,Men,"Product for NORWAY: Men's knitted tank T-Shirts Material: 85% Recycled Polyester, 15% Elastane - EL. Construction: Knitted.",6109.90.10,100,61099010,6109.90.10,100,Validated (with Reasoning),Validated (with reasoning),2025-07-16 15:03:10
21,NORWAY,knitted tights Tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL",Knitted,Men,"Product for NORWAY: Men's knitted tights Tights Material: 73% Polyamide (Nylon) - PA, 27% Elastane - EL. Construction: Knitted.",6103.43.00,100,61034300,6103.43.00,100,Validated (with Reasoning),Validated (with reasoning),2025-07-16 15:03:10
22,NORWAY,knitted half tights Tights,"73% Polyamide (Nylon) - PA, 27% Elastane - EL",Knitted,Men,"Product for NORWAY: Men's knitted half tights Tights Material: 73% Polyamide (Nylon) - PA, 27% Elastane - EL. Construction: Knitted.",6103.43.00,100,61034300,6103.43.00,100,Validated (with Reasoning),Validated (with reasoning),2025-07-16 15:03:10
23,NORWAY,woven padded vest Winter Jackets,"85% Polyamide (Recycled Nylon) - rPA, 15% Elastane - EL",Woven,Men,"Product for NORWAY: Men's woven padded vest Winter Jackets Material: 85% Polyamide (Recycled Nylon) - rPA, 15% Elastane - EL. Construction: Woven.",6201.40.00,100,62014000,6201.40.00,100,Validated (with Reasoning),Validated (with reasoning),2025-07-16 15:03:10
24,NORWAY,woven shorts Shorts,"75% Recycled Polyester, 25% Elastane - EL",Woven,Men,"Product for NORWAY: Men's woven shorts Shorts Material: 75% Recycled Polyester, 25% Elastane - EL. Construction: Woven.",6203.43.01,100,62034301,6203.43.01,100,Validated (with Reasoning),Validated (with reasoning),2025-07-16 15:03:10
25,NORWAY,knitted tights Tights,"74% recycled polyester, 26% elastane",Knitted,Men,"Product for NORWAY: Men's knitted tights Tights Material: 74% recycled polyester, 26% elastane. Construction: Knitted.",6103.43.00,100,61034300,6103.43.00,100,Validated (with Reasoning),Validated (with reasoning),2025-07-16 15:03:10
26,NORWAY,knitted t-shirt Long Sleeves,"90% Recycled Polyester, 10% Elastane - EL",Knitted,Men,"Product for NORWAY: Men's knitted t-shirt Long Sleeves Material: 90% Recycled Polyester, 10% Elastane - EL. Construction: Knitted.",6109.90.10,100,61099010,6109.90.10,100,Validated (with Reasoning),Validated (with reasoning),2025-07-16 15:03:10
27,NORWAY,knitted t-shirt Short Sleeves,100% recycled polyester,Knitted,Men,Product for NORWAY: Men's knitted t-shirt Short Sleeves Material: 100% recycled polyester. Construction: Knitted.,6109.90.10,100,61099010,6109.90.10,100,Validated (with Reasoning),Validated (with reasoning),2025-07-16 15:03:10
28,NORWAY,woven jacket Winter Jackets,"85% Polyamide, 15% Elastane",Woven,Men,"Product for NORWAY: Men's woven jacket Winter Jackets Material: 85% Polyamide, 15% Elastane. Construction: Woven.",6201.40.00,100,62014000,6201.40.00,100,Validated (with Reasoning),Validated (with reasoning),2025-07-16 15:03:10
29,NORWAY,knitted tights Tights,"72% Recycled Polyester, 28% Elastane - EL",Knitted,Men,"Product for NORWAY: Men's knitted tights Tights Material: 72% Recycled Polyester, 28% Elastane - EL. Construction: Knitted.",6103.43.00,100,61034300,6103.43.00,100,Validated (with Reasoning),Validated (with reasoning),2025-07-16 15:03:10
100,EUROPE,knitted pants Pants,"90% Polyester Lanzatech - CC, 10% Elastane - EL",Knitted,Men,"Product for EUROPE: Men's knitted pants Pants Material: 90% Polyester Lanzatech - CC, 10% Elastane - EL. Construction: Knitted.",6103.43.00.00,90,6103430000,6103.43.00.00,100,Validated (with Reasoning),"1.  *GRI Application*:
    *   GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
    *   GRI 6: Subheadings are compared on equal footing, and the most specific subheading is chosen.

2.  *Historical Data Consideration*:
    *   The historical data includes ""Tights, for Men, made of 68% Polyamide and 32% Elastane. Construction: Knitted. Country: Europe -> HS Code: 6103.43.00.00"". This suggests that 6103.43 could be a relevant classification for men's knitted pants made of synthetic fibers.

3.  *Chapter & Section Fit*:
    *   Section XI: Textiles and textile articles.
    *   Chapter 61: Articles of apparel and clothing accessories, knitted or crocheted. The product is knitted, placing it in Chapter 61.

4.  *Heading & Subheading Determination*:
    *   Heading 6103: Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted. This heading accurately describes the product.
    *   Subheading 6103.4: Trousers, bib and brace overalls, breeches and shorts.
    *   Subheading 6103.43: Of synthetic fibres. Since the pants are 90% polyester, a synthetic fiber, this subheading is appropriate.
    *   Subheading 6103.43.00: This is the 8-digit code.

5.  *National Tariff Line Determination*:
    *   The final two digits (00) are the TARIC subheading.

6.  *Exclusions & Verifications*:
    *   Chapter 62 is excluded because the product is knitted, not woven.

7.  *Internal Verification Check*:

    *   **Check 1 (Knit/Woven):** Is the product knitted/woven, and does the code chapter (61/62) match? Yes, the product is knitted, and the code is in Chapter 61.
    *   **Check 2 (Code in Docs):** Does this exact HS code `6103.43.00.00` exist verbatim in the provided `OFFICIAL CHAPTER CONTENT`? **This is a non-negotiable, mandatory check. If the exact code is NOT found, this entire option is INVALID and you MUST discard it. If it IS found, you MUST quote the exact line item from the document that contains the code.** Yes, the code exists: `6103430000 80 6- - Of synthetic fibres`
    *   **Check 3 (Not Rejected):** Is this code on the `Previously Rejected HS Codes` list? No.
    *   **Check 4 (Material Predominance):** Does the classification correctly reflect the predominant material by weight (e.g., classifying as 'Of cotton' if cotton > 50%)? Yes, the product is classified as ""Of synthetic fibres"" because polyester is the predominant material (90%).",2025-08-08 11:59:45
101,EUROPE,knitted tank T-Shirts,100% Polyester (Mechanical Recycled) - rPES,Knitted,Men,Product for EUROPE: Men's knitted tank T-Shirts Material: 100% Polyester (Mechanical Recycled) - rPES. Construction: Knitted.,6109.90.20.00,95,6109902000,6109.90.20.00,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Classification at the subheading level must follow the same principles as GRI 1.
2. *Historical Data Consideration*:
    * The provided example classification for Europe, ""Men's T-shirt, knitted, made of 100% polyester,"" suggests HS code 6109.90.20.00. This serves as a strong candidate due to the similarity in product description (men's knitted shirt made of polyester).
3. *Chapter & Section Fit*:
    * Section XI: Textiles and textile articles.
    * Chapter 61: Articles of apparel and clothing accessories, knitted or crocheted. The product is a knitted garment, placing it in Chapter 61.
4. *Heading & Subheading Determination*:
    * Heading 6109: T-shirts, singlets and other vests, knitted or crocheted. This heading accurately describes the product.
    * Subheading 6109.90: Of other textile materials.
    * Subheading 6109.90.20: Of wool or fine animal hair or man-made fibres. Since the T-shirt is 100% polyester (a man-made fiber), this subheading is appropriate.
5. *National Tariff Line Determination*:
    * The final two digits (00) are the TARIC subheading.
6. *Exclusions & Verifications*:
    * Chapter 62 is excluded because the garment is knitted, not woven.
7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Yes, the product is knitted, and the code chapter (61) matches.
    * **Check 2 (Code in Docs):** Yes, the exact HS code `6109.90.20.00` exists verbatim in the provided `OFFICIAL CHAPTER CONTENT`. The line item is: `6109902000 80 8- - Of wool or fine animal hair or man-made fibres`.
    * **Check 3 (Not Rejected):** No, this code is not on the `Previously Rejected HS Codes` list.
    * **Check 4 (Material Predominance):** Yes, the classification correctly reflects the predominant material by weight (100% polyester, a man-made fiber).",2025-08-08 11:59:45
102,EUROPE,knitted long sleeves t-shirt T-Shirts,100% Polyester,Knitted,Men,Product for EUROPE: Men's knitted long sleeves t-shirt T-Shirts Material: 100% Polyester. Construction: Knitted.,6109.90.20.00,95,6109902000,6109.90.20.00,100,Validated (with Reasoning),"1. *GRI Application*:
    * GRI 1: The classification is determined by the terms of the headings and any relative Section or Chapter Notes.
    * GRI 6: Subheading classification follows the same principles as GRI 1, based on the specific descriptions provided in the nomenclature.
2. *Historical Data Consideration*:
    * The historical data provides a similar product (Men's Knitted Long Sleeves T-shirt, 100% Polyester) classified under HS code 6109.90.20.00. This serves as a strong candidate and is verified against the current documentation.
3. *Chapter & Section Fit*:
    * Section XI covers ""Textiles and textile articles"".
    * Chapter 61 covers ""ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED"". The product is a knitted garment, placing it in Chapter 61.
4. *Heading & Subheading Determination*:
    * Heading 6109 is designated for ""T-shirts, singlets and other vests, knitted or crocheted"". This accurately describes the product.
    * Subheading 6109.90 is for ""Of other textile materials"".
    * Subheading 6109.90.20 is for ""Of wool or fine animal hair or man-made fibres"". Since the T-shirt is 100% polyester, a synthetic man-made fibre, this is the correct 8-digit CN code.
5. *National Tariff Line Determination*:
    * The final two digits (00) are the TARIC subheading. This code is found by consulting the EU's online TARIC database. The 00 subheading indicates that, for the general case, no specific Union-wide measures (such as anti-dumping duties or tariff quotas) are applicable to this product.
6. *Exclusions & Verifications*:
    * Chapter 62 is excluded because the garment is knitted, not woven.
    * 6109.10.00 is excluded because it is specifically for ""Of cotton"".
    * 6109.90.90 is excluded because it is for ""Of other textile materials"" when the material is not wool, fine animal hair, or man-made fibres.
7. *Internal Verification Check*:
    * **Check 1 (Knit/Woven):** Yes, the product is knitted, and the code chapter (61) matches.
    * **Check 2 (Code in Docs):** Yes, the exact HS code `6109.90.20.00` exists verbatim in the provided `OFFICIAL CHAPTER CONTENT`. The line item is: `6109902000 80 8- - Of wool or fine animal hair or man-made fibres`.
    * **Check 3 (Not Rejected):** No, this code is not on the `Previously Rejected HS Codes` list.
    * **Check 4 (Material Predominance):** Yes, the classification correctly reflects the predominant material by weight (100% polyester, a man-made fiber).",2025-08-08 11:59:45
